CollEn	 Particle	 Cent	 dEtdEta	 dETdEta_err	 dNdEta	 dNdEta_err	 npart	 nparterr
27	eta	8	0.212352	0.293417	0.236226	0.322378	14	6
39	pi-	0	76.1586	4.9248	155.22	9.7281	342	2
39	pi-	1	62.9322	4.57416	128.361	10.1163	294	6
39	pi-	2	48.7571	3.57164	100.216	8.01407	230	9
39	pi-	3	33.0805	2.43456	68.3816	5.50826	162	10
39	pi-	4	21.4021	1.66466	44.0423	3.88386	111	11
39	pi-	5	13.4931	0.980559	28.0145	2.18742	74	10
39	pi-	6	8.36731	0.534026	17.9903	1.09544	46	9
39	pi-	7	4.58962	0.29036	10.1128	0.605235	26	7
39	pi-	8	2.53179	0.159122	5.71762	0.337949	14	5
39	pi+	0	75.3935	4.91782	151.895	9.63683	342	2
39	pi+	1	62.0913	4.48962	125.183	9.75897	294	6
39	pi+	2	48.0081	3.50835	97.7334	7.77604	230	9
39	pi+	3	32.5467	2.39503	66.7945	5.38052	162	10
39	pi+	4	21.2136	1.67249	43.8019	3.99488	111	11
39	pi+	5	13.3747	0.863793	27.9026	1.73667	74	10
39	pi+	6	8.21591	0.549066	17.5889	1.17038	46	9
39	pi+	7	4.51441	0.282624	9.92325	0.582058	26	7
39	pi+	8	2.4891	0.15709	5.59894	0.333116	14	5
39	ka-	0	15.1536	0.988525	17.2961	1.13232	342	2
39	ka-	1	12.9496	0.846102	14.917	0.980932	294	6
39	ka-	2	9.51677	0.628563	10.9792	0.732987	230	9
39	ka-	3	6.33449	0.39295	7.36508	0.44546	162	10
39	ka-	4	4.08918	0.255056	4.78971	0.292815	111	11
39	ka-	5	2.48937	0.16936	2.97692	0.208457	74	10
39	ka-	6	1.43979	0.100545	1.74828	0.127209	46	9
39	ka-	7	0.718179	0.0491569	0.873017	0.0617097	26	7
39	ka-	8	0.362291	0.022637	0.445336	0.0273552	14	5
39	ka+	0	19.4228	1.20125	22.0942	1.33417	342	2
39	ka+	1	16.8117	1.11123	19.1627	1.27848	294	6
39	ka+	2	12.2869	0.824155	14.0265	0.95551	230	9
39	ka+	3	8.18546	0.53843	9.42255	0.626071	162	10
39	ka+	4	4.14789	0.258226	4.80939	0.291914	88.8	8.8
39	ka+	5	3.15515	0.194744	3.71757	0.224003	74	10
39	ka+	6	1.79981	0.123963	2.15919	0.15431	46	9
39	ka+	7	0.896002	0.0699619	1.07129	0.0910245	26	7
39	ka+	8	0.455024	0.0287837	0.550145	0.0341869	14	5
39	proton	0	7.01179	0.62226	15.4694	1.31928	342	2
39	proton	1	5.79443	0.509212	13.1237	1.10281	294	6
39	proton	2	4.30013	0.390387	9.90558	0.866114	230	9
39	proton	3	2.87212	0.265714	6.71646	0.60119	162	10
39	proton	4	1.75914	0.154173	4.40097	0.373925	111	11
39	proton	5	1.02259	0.0896172	2.61673	0.224769	74	10
39	proton	6	0.552548	0.0489482	1.50518	0.131601	46	9
39	proton	7	0.257375	0.0224842	0.753846	0.0655613	26	7
39	proton	8	0.114205	0.00980341	0.355447	0.0304006	14	5
39	pbar	0	11.8034	1.01605	5.05656	0.438088	342	2
39	pbar	1	10.0802	0.842781	4.34324	0.361547	294	6
39	pbar	2	7.45614	0.642197	3.21777	0.278971	230	9
39	pbar	3	5.15008	0.424567	2.24338	0.183713	162	10
39	pbar	4	3.57326	0.299184	1.56809	0.131045	111	11
39	pbar	5	2.23752	0.195398	0.990693	0.0883143	74	10
39	pbar	6	1.33855	0.109337	0.600444	0.048771	46	9
39	pbar	7	0.717342	0.107287	0.325651	0.0521209	26	7
39	pbar	8	0.346878	0.0287591	0.159124	0.0131679	14	5
39	pi0	0	75.8981	4.9029	155.046	9.67802	342	2
39	pi0	1	62.3729	4.39801	126.896	9.36341	294	6
39	pi0	2	48.1895	3.39924	98.6891	7.28725	230	9
39	pi0	3	32.7667	2.1918	67.7951	4.553	162	10
39	pi0	4	21.4096	1.71569	44.661	4.19149	111	11
39	pi0	5	13.5075	0.867025	28.47	1.74825	74	10
39	pi0	6	8.30902	0.530413	17.9905	1.09443	46	9
39	pi0	7	4.5637	0.298454	10.1447	0.647791	26	7
39	pi0	8	2.51173	0.151358	5.70856	0.309047	14	5
39	eta	0	9.45996	13.3447	9.85925	13.8592	342	2
39	eta	1	7.84877	11.0118	8.19948	11.453	294	6
39	eta	2	6.02254	8.40039	6.30719	8.73221	230	9
39	eta	3	4.05514	5.67441	4.25833	5.92104	162	10
39	eta	4	2.62573	3.66811	2.7669	3.83836	111	11
39	eta	5	1.63548	2.31022	1.73357	2.4458	74	10
39	eta	6	0.977873	1.42428	1.04533	1.54663	46	9
39	eta	7	0.522636	0.726875	0.563145	0.776174	26	7
39	eta	8	0.281474	0.388786	0.305572	0.416367	14	5
62.4	pi-	0	80.4016	2.61868	203.331	5.66467	347	3
62.4	pi-	1	65.2597	2.29787	165.986	4.99052	294	4
62.4	pi-	2	49.6602	1.04898	127.552	3.01903	230	5
62.4	pi-	3	34.5061	1.61372	87.2888	3.44178	164	5
62.4	pi-	4	23.2742	0.551513	59.1191	1.59274	114	5
62.4	pi-	5	991.865	3.22176	6640.13	19.4005	76	5
62.4	pi-	6	901.808	2.89909	6079.31	17.3276	48	5
62.4	pi-	7	5.06474	0.381783	13.171	1.0756	28	3
62.4	pi-	8	2.59348	0.062258	7.02683	0.179832	15	2
62.4	pi+	0	78.9855	1.40454	199.9	3.3599	347	3
62.4	pi+	1	64.6548	2.51783	163.882	5.25985	294	4
62.4	pi+	2	49.0637	0.849726	126.197	2.12903	230	5
62.4	pi+	3	33.8475	0.718572	85.6174	1.69861	164	5
62.4	pi+	4	23.0909	0.577821	59.8353	1.6229	114	5
62.4	pi+	5	573.306	2.05935	3789.04	11.8413	76	5
62.4	pi+	6	9.21372	0.433386	23.9022	1.03049	48	5
62.4	pi+	7	5.16695	0.243599	13.8473	0.81136	28	3
62.4	pi+	8	2.55358	0.0617911	6.81401	0.190554	15	2
62.4	ka-	0	13.0623	0.95663	17.0542	1.23829	347	3
62.4	ka-	1	11.212	1.2321	14.526	1.54563	294	4
62.4	ka-	2	9.38639	22.9979	11.1235	23.1849	230	5
62.4	ka-	3	6.05493	0.511867	7.65465	0.652759	164	5
62.4	ka-	4	3.77874	0.378186	4.92879	0.473337	114	5
62.4	ka-	5	2.50678	0.519137	3.26249	0.589401	76	5
62.4	ka-	6	1.54125	0.263997	1.9398	0.313154	48	5
62.4	ka-	7	0.788734	1.93918	1.02978	1.983	28	3
62.4	ka-	8	0.364623	0.127357	0.479207	0.142038	15	2
62.4	ka+	0	15.0996	1.38782	19.6912	1.75275	347	3
62.4	ka+	1	12.8654	1.4826	16.6737	1.85492	294	4
62.4	ka+	2	9.46368	1.08039	12.3269	1.37658	230	5
62.4	ka+	3	6.5458	0.64684	8.55863	0.816719	164	5
62.4	ka+	4	4.33174	0.512602	5.70408	0.630942	114	5
62.4	ka+	5	2.80111	0.337536	3.72253	0.424217	76	5
62.4	ka+	6	1.58242	0.171802	2.09455	0.217569	48	5
62.4	ka+	7	0.86116	0.220603	1.14364	0.249734	28	3
62.4	ka+	8	0.378652	0.0427446	0.515088	0.0569397	15	2
62.4	proton	0	6.39951	6.59097	14.2035	6.78386	347	3
62.4	proton	1	5.088	3.01374	11.552	3.17149	294	4
62.4	proton	2	3.74815	3.41506	8.784	3.56598	230	5
62.4	proton	3	1.91665	0.225909	4.70668	0.296111	131.2	4
62.4	proton	4	1.56487	0.183528	3.97175	0.242863	114	5
62.4	proton	5	0.918388	0.646341	2.49269	0.681147	76	5
62.4	proton	6	0.523659	0.571905	1.48184	0.593189	48	5
62.4	proton	7	0.256294	0.207196	0.77108	0.220265	28	3
62.4	proton	8	0.111859	0.269382	0.341166	0.277248	15	2
62.4	pbar	0	15.8366	0.553444	6.84385	0.344664	347	3
62.4	pbar	1	13.1678	0.405695	5.72622	0.230665	294	4
62.4	pbar	2	10.089	0.293507	4.41625	0.162578	230	5
62.4	pbar	3	7.01879	0.196008	3.10982	0.103934	164	5
