Exotic Particle Analysis
******************************************************
JobID: 20200430	No. Events: 1000	SNN: 130

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
688	-11	0.166594	0.166593	91
689	22	0.285702	0.285702	91
689	22	0.158511	0.158511	91
689	-11	0.00532211	0.00529754	91
689	11	0.162562	0.162561	91
689	-11	0.0815589	0.0815573	91
689	-11	0.0449863	0.0449834	91
691	-11	0.0568379	0.0568356	91
697	22	0.244044	0.244044	91
697	11	0.0410142	0.041011	91
699	11	0.193127	0.193127	91
699	-11	0.729868	0.729868	91
704	22	0.30632	0.30632	91
709	13	0.700016	0.692074	91
709	22	0.0548995	0.0548995	91
710	22	0.138944	0.138944	91
711	22	0.0796245	0.0796245	91
713	22	0.238651	0.238651	91
715	22	0.554158	0.554158	91
715	11	0.205367	0.205366	91
715	-11	0.00779996	0.00778321	91
716	-11	0.0283983	0.0283937	91
718	22	0.147994	0.147994	91
719	11	0.0318003	0.0317962	91
719	-11	0.0148039	0.0147951	91
725	-11	0.167005	0.167004	91
725	-11	0.134947	0.134946	91
725	-11	0.211135	0.211134	91
725	-11	0.0868287	0.0868272	91
726	-11	0.0500338	0.0500312	91
726	-11	0.00182245	0.00174935	91
728	22	0.0550534	0.0550534	91
728	22	0.070512	0.070512	91
728	11	0.0570111	0.0570089	91
732	22	0.144514	0.144514	91
732	11	0.199769	0.199768	91
733	22	0.376136	0.376136	91
733	-11	0.0550408	0.0550385	91
733	11	0.269749	0.269749	91
733	-11	0.0332181	0.0332142	91
746	22	0.0212833	0.0212833	91
746	-11	0.32146	0.32146	91
750	22	0.0162547	0.0162547	91
750	11	0.0134079	0.0133983	91
754	-11	0.0981537	0.0981524	91
756	11	0.104486	0.104484	91
758	11	0.0267578	0.0267529	91
759	22	0.0988649	0.0988649	91
759	11	0.0304401	0.0304358	91
759	-11	0.286587	0.286586	91
761	-11	0.0303805	0.0303762	91
765	11	0.0049151	0.00488849	91
766	-11	0.231262	0.231261	91
766	22	0.08486	0.08486	91
766	11	0.0187707	0.0187637	91
768	-11	0.0610428	0.0610406	91
768	-11	0.0656288	0.0656268	91
768	11	0.00859861	0.00858346	91
769	22	0.319866	0.319866	91
770	22	0.0222105	0.0222105	91
772	22	0.119502	0.119502	91
775	22	0.293641	0.293641	91
775	22	0.0634772	0.0634772	91
775	22	0.0115623	0.0115623	91
775	22	0.0901605	0.0901605	91
780	22	0.0465745	0.0465745	91
780	-11	0.114199	0.114198	91
780	11	0.0204375	0.0204311	91
780	11	0.0581198	0.0581176	91
780	-11	0.0384099	0.0384065	91
781	22	0.0883332	0.0883332	91
782	-11	0.00681692	0.00679784	91
782	22	0.101265	0.101265	91
783	22	0.0557911	0.0557911	91
783	11	0.067672	0.0676701	91
785	11	0.373076	0.373076	91
785	-11	0.097927	0.0979257	91
787	22	0.0525047	0.0525047	91
788	11	0.0677078	0.0677058	91
788	-11	0.238844	0.238843	91
788	11	0.12842	0.128419	91
791	22	0.153949	0.153949	91
791	22	0.0756901	0.0756901	91
793	22	0.110037	0.110037	91
795	-11	0.0338899	0.0338861	91
796	22	0.0849872	0.0849872	91
797	22	0.235429	0.235429	91
802	22	0.0592129	0.0592129	91
803	22	0.076376	0.076376	91
803	-11	0.0120755	0.0120648	91
810	11	0.032693	0.032689	91
812	11	0.199217	0.199216	91
